,Game,AppID,Review Score,Positive Reviews,Negative Reviews,Review Score Description,Total Review,Units Sold (Estimated),Engine,Is Free,Price,Initial Price,Discounted Percent,Currency,Windows,Mac,Linux,Publishers,Release Date,Required Age
0,english country tune,207570,8,134,9,Very Positive,143,2860,Unity Engine,False,4.99,4.99,0.0,USD, True, True, True,increpare games,"Aug 9, 2012",0
1,rwby: grimm eclipse,418340,8,7948,1771,Very Positive,9719,194380,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,rooster teeth games,"Jul 5, 2016",0
2,pc building simulator,621060,8,34174,2049,Very Positive,36223,724460,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,the irregular corporation,"Jan 29, 2019",0
3,green hell,815370,8,32644,4649,Very Positive,37293,745860,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,creepy jar,"Sep 5, 2019",0
4,mini metro,287980,9,9015,357,Overwhelmingly Positive,9372,187440,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,dinosaur polo club,"Nov 6, 2015",0
5,aegis of earth: protonovus assault,450250,5,24,14,Mixed,38,760,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,aksys games,"Jul 18, 2016",0
6,the bunker,481110,5,811,359,Mixed,1170,23400,Unity Engine,False,12.99,12.99,0.0,USD, True, True, False,wales interactive,"Sep 20, 2016",0
7,rick and morty: virtual rick-ality,469610,6,1308,415,Mostly Positive,1723,34460,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,adult swim games,"Apr 20, 2017",0
8,disco elysium,632470,8,54811,3411,Very Positive,58222,1164440,Unity Engine,False,39.99,39.99,0.0,USD, True, True, False,za/um,"Oct 15, 2019",0
9,rust,252490,8,592170,86780,Very Positive,678950,13579000,Unity Engine,False,39.99,39.99,0.0,USD, True, True, False,facepunch studios,"Feb 8, 2018",17
10,tannenberg,633460,8,5716,860,Very Positive,6576,131520,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,m2h,"Nov 16, 2017",0
11,fox n forests,603400,6,90,24,Mostly Positive,114,2280,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,eurovideo medien ,"May 17, 2018",0
12,i am bread,327890,6,3534,990,Mostly Positive,4524,90480,Unity Engine,False,12.99,12.99,0.0,USD, True, True, False,tinybuild,"Apr 9, 2015",0
13,west of loathing,597220,9,7013,167,Overwhelmingly Positive,7180,143600,Unity Engine,False,11.186567164179104,11.186567164179104,0.0,CAD, True, True, True,asymmetric,"10 Aug, 2017",0
14,night in the woods,481510,8,11490,680,Very Positive,12170,243400,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,finji,"Feb 21, 2017",0
15,parkitect,453090,8,4729,296,Very Positive,5025,100500,Unity Engine,False,29.99,29.99,0.0,USD, True, True, True,texel raptor,"Nov 29, 2018",0
16,nickelodeon all-star brawl,1414850,6,3223,829,Mostly Positive,4052,81040,Unity Engine,False,49.99,49.99,0.0,USD, True, False, False,gamemill entertainment,"Oct 4, 2021",0
17,cities: skylines,255710,8,143774,10305,Very Positive,154079,3081580,Unity Engine,False,8.99,29.99,70.0,USD, True, True, True,paradox interactive,"Mar 10, 2015",0
18,atlas reactor,402570,8,1225,133,Very Positive,1358,27160,Unity Engine,False,,,,, True, False, False,trion worlds,"Oct 4, 2016",0
19,arma tactics,224860,4,116,240,Mostly Negative,356,7120,Unity Engine,False,8.99,8.99,0.0,USD, True, True, True,bohemia interactive,"Oct 1, 2013",0
20,pillars of eternity,291650,8,11703,1691,Very Positive,13394,267880,Unity Engine,False,29.99,29.99,0.0,USD, True, True, True,paradox interactive,"Mar 26, 2015",0
21,secret agent hd,1607670,8,97,1,Very Positive,98,1960,Unity Engine,False,7.99,7.99,0.0,USD, True, False, True,apogee entertainment,"Jun 30, 2021",0
22,cobra kai: the karate kid saga continues,1279920,8,249,38,Very Positive,287,5740,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,gamemill entertainment,"Jan 5, 2021",0
23,screencheat,301970,8,603,55,Very Positive,658,13160,Unity Engine,False,2.99,14.99,80.0,USD, True, True, True,samurai punk,"Oct 21, 2014",0
24,dream daddy: a dad dating simulator,654880,8,4198,379,Very Positive,4577,91540,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,game grumps,"Jul 20, 2017",0
25,motorsport manager,415200,8,8697,817,Very Positive,9514,190280,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,sega,"Nov 9, 2016",0
26,nascar heat 5,1265860,8,1296,273,Very Positive,1569,31380,Unity Engine,False,14.99,14.99,0.0,USD, True, False, False,motorsport games,"Jul 9, 2020",0
27,dreadout,269790,6,2840,861,Mostly Positive,3701,74020,Unity Engine,False,14.99,14.99,0.0,USD, True, False, True,digital happiness,"May 15, 2014",0
28,lara croft go,540840,8,2181,139,Very Positive,2320,46400,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,square enix,"Dec 4, 2016",0
29,among the sleep,250620,8,4054,546,Very Positive,4600,92000,Unity Engine,False,17.51546391752577,17.51546391752577,0.0,EUR, True, True, True,krillbite studio,"29 May, 2014",0
30,the world next door,755470,8,143,31,Very Positive,174,3480,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,viz media,"Mar 28, 2019",0
31,catlateral damage,329860,8,817,100,Very Positive,917,18340,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,manekoware,"May 27, 2015",0
32,rec room,471710,8,113,1,Very Positive,114,2280,Unity Engine,True,,,,, True, False, False,rec room,"Sep 2, 2021",0
33,final fantasy ix,377840,8,7170,438,Very Positive,7608,152160,Unity Engine,False,17.902985074626862,17.902985074626862,0.0,CAD, True, False, False,square enix,"14 Apr, 2016",13
34,cooking simulator,641320,8,11053,2061,Very Positive,13114,262280,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,"['big cheese studio', ' playway s.a.']","Jun 6, 2019",0
35,huniepop,339800,9,22211,818,Overwhelmingly Positive,23029,460580,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,huniepot,"Jan 19, 2015",18
36,life is strange: before the storm,554620,8,29428,2189,Very Positive,31617,632340,Unity Engine,False,16.99,16.99,0.0,USD, True, True, True,"['square enix', ' feral interactive (mac)', ' feral interactive (linux)']","Aug 31, 2017",17
37,stories untold,558420,8,2927,446,Very Positive,3373,67460,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,devolver digital,"Feb 27, 2017",0
