,Game,AppID,Review Score,Positive Reviews,Negative Reviews,Review Score Description,Total Review,Units Sold (Estimated),Engine
0,english country tune,207570,8,134,9,Very Positive,143,2860,Unity Engine
1,rwby: grimm eclipse,418340,8,7948,1771,Very Positive,9719,194380,Unity Engine
2,pc building simulator,621060,8,34174,2049,Very Positive,36223,724460,Unity Engine
3,green hell,815370,8,32644,4649,Very Positive,37293,745860,Unity Engine
4,mini metro,287980,9,9015,357,Overwhelmingly Positive,9372,187440,Unity Engine
5,aegis of earth: protonovus assault,450250,5,24,14,Mixed,38,760,Unity Engine
6,the bunker,481110,5,811,359,Mixed,1170,23400,Unity Engine
7,rick and morty: virtual rick-ality,469610,6,1308,415,Mostly Positive,1723,34460,Unity Engine
8,disco elysium,632470,8,54811,3411,Very Positive,58222,1164440,Unity Engine
9,rust,252490,8,592170,86780,Very Positive,678950,13579000,Unity Engine
10,tannenberg,633460,8,5716,860,Very Positive,6576,131520,Unity Engine
11,fox n forests,603400,6,90,24,Mostly Positive,114,2280,Unity Engine
12,i am bread,327890,6,3534,990,Mostly Positive,4524,90480,Unity Engine
13,west of loathing,597220,9,7013,167,Overwhelmingly Positive,7180,143600,Unity Engine
14,night in the woods,481510,8,11490,680,Very Positive,12170,243400,Unity Engine
15,parkitect,453090,8,4729,296,Very Positive,5025,100500,Unity Engine
16,nickelodeon all-star brawl,1414850,6,3223,829,Mostly Positive,4052,81040,Unity Engine
17,cities: skylines,255710,8,143774,10305,Very Positive,154079,3081580,Unity Engine
18,atlas reactor,402570,8,1225,133,Very Positive,1358,27160,Unity Engine
19,arma tactics,224860,4,116,240,Mostly Negative,356,7120,Unity Engine
20,pillars of eternity,291650,8,11703,1691,Very Positive,13394,267880,Unity Engine
21,secret agent hd,1607670,8,97,1,Very Positive,98,1960,Unity Engine
22,cobra kai: the karate kid saga continues,1279920,8,249,38,Very Positive,287,5740,Unity Engine
23,screencheat,301970,8,603,55,Very Positive,658,13160,Unity Engine
24,dream daddy: a dad dating simulator,654880,8,4198,379,Very Positive,4577,91540,Unity Engine
25,motorsport manager,415200,8,8697,817,Very Positive,9514,190280,Unity Engine
26,nascar heat 5,1265860,8,1296,273,Very Positive,1569,31380,Unity Engine
27,dreadout,269790,6,2840,861,Mostly Positive,3701,74020,Unity Engine
28,lara croft go,540840,8,2181,139,Very Positive,2320,46400,Unity Engine
29,among the sleep,250620,8,4054,546,Very Positive,4600,92000,Unity Engine
30,the world next door,755470,8,143,31,Very Positive,174,3480,Unity Engine
31,catlateral damage,329860,8,817,100,Very Positive,917,18340,Unity Engine
32,rec room,471710,8,113,1,Very Positive,114,2280,Unity Engine
33,final fantasy ix,377840,8,7170,438,Very Positive,7608,152160,Unity Engine
34,cooking simulator,641320,8,11053,2061,Very Positive,13114,262280,Unity Engine
35,huniepop,339800,9,22211,818,Overwhelmingly Positive,23029,460580,Unity Engine
36,life is strange: before the storm,554620,8,29428,2189,Very Positive,31617,632340,Unity Engine
37,stories untold,558420,8,2927,446,Very Positive,3373,67460,Unity Engine
38,totally accurate battle simulator,508440,9,86256,1739,Overwhelmingly Positive,87995,1759900,Unity Engine
39,nascar heat 4,1127980,8,935,190,Very Positive,1125,22500,Unity Engine
40,trollhunters: defenders of arcadia,1344070,6,29,8,Mostly Positive,37,740,Unity Engine
41,manifold garden,473950,9,3449,130,Overwhelmingly Positive,3579,71580,Unity Engine
42,twelve minutes,1097200,6,4058,1475,Mostly Positive,5533,110660,Unity Engine
43,jack move,1099640,8,247,52,Very Positive,299,5980,Unity Engine
44,ultrakill,1229490,9,35302,451,Overwhelmingly Positive,35753,715060,Unity Engine
45,syndrome,409320,5,132,62,Mixed,194,3880,Unity Engine
46,inside,304430,9,34440,1213,Overwhelmingly Positive,35653,713060,Unity Engine
47,zombieland: double tap - road trip,995430,5,15,10,Mixed,25,500,Unity Engine
48,orwell,491950,8,6901,645,Very Positive,7546,150920,Unity Engine
49,furi,423230,8,7134,645,Very Positive,7779,155580,Unity Engine
50,p.a.m.e.l.a.,427880,5,484,303,Mixed,787,15740,Unity Engine
51,yiik: a postmodern rpg,459080,5,241,114,Mixed,355,7100,Unity Engine
52,7 days to die,251570,8,142842,18444,Very Positive,161286,3225720,Unity Engine
53,year walk,269050,8,1079,84,Very Positive,1163,23260,Unity Engine
54,super animal royale,843380,9,6139,296,Overwhelmingly Positive,6435,128700,Unity Engine
55,cities in motion 2,225420,5,675,446,Mixed,1121,22420,Unity Engine
56,dead effect,286040,6,1960,753,Mostly Positive,2713,54260,Unity Engine
57,umurangi generation,1223500,8,651,49,Very Positive,700,14000,Unity Engine
58,black skylands,1143810,8,814,112,Very Positive,926,18520,Unity Engine
59,hero of many,297370,8,59,8,Very Positive,67,1340,Unity Engine
60,v rising,1604030,8,38358,5019,Very Positive,43377,867540,Unity Engine
61,her story,368370,8,5621,641,Very Positive,6262,125240,Unity Engine
62,"dr. langeskov, the tiger, and the terribly cursed emerald: a whirlwind heist",409160,8,151,7,Very Positive,158,3160,Unity Engine
63,graveyard keeper,599140,8,19318,3106,Very Positive,22424,448480,Unity Engine
64,realmyst: masterpiece edition,244430,8,1015,133,Very Positive,1148,22960,Unity Engine
65,poi,401810,8,351,24,Very Positive,375,7500,Unity Engine
66,djmax respect v,960170,8,14899,2176,Very Positive,17075,341500,Unity Engine
67,tis-100,370360,9,2771,69,Overwhelmingly Positive,2840,56800,Unity Engine
68,sands of salzaar,1094520,8,15290,2886,Very Positive,18176,363520,Unity Engine
69,tunic,553420,8,4578,373,Very Positive,4951,99020,Unity Engine
70,hand of fate,266510,8,6863,755,Very Positive,7618,152360,Unity Engine
71,teslagrad,249590,8,1320,233,Very Positive,1553,31060,Unity Engine
72,necropolis,384490,5,2317,1319,Mixed,3636,72720,Unity Engine
73,white day: a labyrinth named school,466130,6,1285,340,Mostly Positive,1625,32500,Unity Engine
74,naraka: bladepoint,1203220,6,91104,24399,Mostly Positive,115503,2310060,Unity Engine
75,trailmakers,585420,8,10584,829,Very Positive,11413,228260,Unity Engine
76,crying suns,873940,8,2108,336,Very Positive,2444,48880,Unity Engine
77,armello,290340,8,8325,1770,Very Positive,10095,201900,Unity Engine
78,thronebreaker: the witcher tales,973760,8,10969,1227,Very Positive,12196,243920,Unity Engine
79,phasmophobia,739630,9,383402,11497,Overwhelmingly Positive,394899,7897980,Unity Engine
80,guns and robots,293540,4,5,10,Mostly Negative,15,300,Unity Engine
81,the elder scrolls: legends,364470,0,0,0,No user reviews,0,0,Unity Engine
82,islanders,1046030,9,13061,664,Overwhelmingly Positive,13725,274500,Unity Engine
83,the last night,612400,0,0,0,No user reviews,0,0,Unity Engine
84,shroud of the avatar: forsaken virtues,326160,5,502,463,Mixed,965,19300,Unity Engine
85,digimon survive,871980,8,1510,340,Very Positive,1850,37000,Unity Engine
86,glittermitten grove,536890,8,259,52,Very Positive,311,6220,Unity Engine
87,house party,611790,8,9921,1392,Very Positive,11313,226260,Unity Engine
88,aaero,499890,8,269,21,Very Positive,290,5800,Unity Engine
89,klonoa phantasy reverie series,1730680,9,796,21,Overwhelmingly Positive,817,16340,Unity Engine
90,the long dark,305620,8,73799,6419,Very Positive,80218,1604360,Unity Engine
91,victory at sea,298480,6,337,117,Mostly Positive,454,9080,Unity Engine
92,iron harvest,826630,6,5820,2026,Mostly Positive,7846,156920,Unity Engine
93,pathologic 2,505230,8,5441,420,Very Positive,5861,117220,Unity Engine
94,aragami,280160,8,7778,814,Very Positive,8592,171840,Unity Engine
95,dex,269650,8,2159,327,Very Positive,2486,49720,Unity Engine
96,human: fall flat,477160,8,123460,7054,Very Positive,130514,2610280,Unity Engine
97,the dwarves,403970,6,737,253,Mostly Positive,990,19800,Unity Engine
98,cloudpunk,746850,8,9116,1084,Very Positive,10200,204000,Unity Engine
99,gunfire reborn,1217060,8,64132,3753,Very Positive,67885,1357700,Unity Engine
100,desperados iii,610370,9,7003,223,Overwhelmingly Positive,7226,144520,Unity Engine
101,shadow blade: reload,272330,8,146,20,Very Positive,166,3320,Unity Engine
102,doom,379720,9,107376,5195,Overwhelmingly Positive,112571,2251420,Unity Engine
103,dusk,519860,9,14485,308,Overwhelmingly Positive,14793,295860,Unity Engine
104,nascar heat evolution,508450,5,153,136,Mixed,289,5780,Unity Engine
105,the lab,450390,8,212,14,Very Positive,226,4520,Unity Engine
106,dawn of the monsters,1642170,8,58,5,Very Positive,63,1260,Unity Engine
107,slime rancher 2,1657630,9,9752,482,Overwhelmingly Positive,10234,204680,Unity Engine
108,action taimanin,1335200,0,0,0,No user reviews,0,0,Unity Engine
109,infinifactory,300570,8,1520,81,Very Positive,1601,32020,Unity Engine
110,yestermorrow,1210490,5,24,11,Mixed,35,700,Unity Engine
111,tyranny,362960,8,7159,1072,Very Positive,8231,164620,Unity Engine
112,pony island,405640,9,9697,453,Overwhelmingly Positive,10150,203000,Unity Engine
113,just shapes & beats,531510,9,13911,305,Overwhelmingly Positive,14216,284320,Unity Engine
114,monument valley 2,1927740,8,302,15,Very Positive,317,6340,Unity Engine
115,helltaker,1289310,8,366,4,Very Positive,370,7400,Unity Engine
116,interstellar marines,236370,5,2285,1918,Mixed,4203,84060,Unity Engine
117,car mechanic simulator 2015,320300,8,10691,913,Very Positive,11604,232080,Unity Engine
118,legend of dungeon,238280,6,863,313,Mostly Positive,1176,23520,Unity Engine
119,the last tinker: city of colors,260160,6,484,138,Mostly Positive,622,12440,Unity Engine
120,double dragon iv,528610,5,390,236,Mixed,626,12520,Unity Engine
121,void bastards,857980,8,2897,415,Very Positive,3312,66240,Unity Engine
122,lost sphear,525240,5,78,64,Mixed,142,2840,Unity Engine
123,everhood,1229380,9,7443,286,Overwhelmingly Positive,7729,154580,Unity Engine
124,ziggurat,308420,8,2367,333,Very Positive,2700,54000,Unity Engine
125,bendy and the ink machine,622650,8,8703,1034,Very Positive,9737,194740,Unity Engine
126,a valley without wind,209330,5,115,70,Mixed,185,3700,Unity Engine
127,clustertruck,397950,8,9032,634,Very Positive,9666,193320,Unity Engine
128,pga tour 2k23,1588010,5,156,89,Mixed,245,4900,Unity Engine
129,big pharma,344850,6,1013,294,Mostly Positive,1307,26140,Unity Engine
130,uberstrike,291210,0,0,0,No user reviews,0,0,Unity Engine
131,i hate running backwards,575820,6,120,41,Mostly Positive,161,3220,Unity Engine
132,heavy bullets,297120,8,935,200,Very Positive,1135,22700,Unity Engine
133,tattletail,568090,8,2495,171,Very Positive,2666,53320,Unity Engine
134,little misfortune,714120,8,4385,491,Very Positive,4876,97520,Unity Engine
135,fract osc,243220,8,328,57,Very Positive,385,7700,Unity Engine
136,badiya,545050,5,145,122,Mixed,267,5340,Unity Engine
137,space pirate trainer,418650,8,2402,129,Very Positive,2531,50620,Unity Engine
138,totally accurate battlegrounds,823130,8,13769,1792,Very Positive,15561,311220,Unity Engine
139,fe,1225580,8,230,33,Very Positive,263,5260,Unity Engine
140,rimworld,294100,9,116771,2056,Overwhelmingly Positive,118827,2376540,Unity Engine
141,gwent: the witcher card game,1284410,0,0,0,No user reviews,0,0,Unity Engine
142,darkwood,274520,8,11637,644,Very Positive,12281,245620,Unity Engine
143,ori and the will of the wisps,1057090,9,82306,2979,Overwhelmingly Positive,85285,1705700,Unity Engine
144,gtfo,493520,8,25932,3830,Very Positive,29762,595240,Unity Engine
145,max: the curse of brotherhood,255390,8,1137,63,Very Positive,1200,24000,Unity Engine
146,runner3,516130,6,160,48,Mostly Positive,208,4160,Unity Engine
147,inscryption,1092790,9,69837,2040,Overwhelmingly Positive,71877,1437540,Unity Engine
148,sword coast legends,325600,5,1224,867,Mixed,2091,41820,Unity Engine
149,ylands,298610,5,2137,1446,Mixed,3583,71660,Unity Engine
150,electronic super joy,244870,8,2280,248,Very Positive,2528,50560,Unity Engine
151,yooka-laylee,360830,6,1866,487,Mostly Positive,2353,47060,Unity Engine
152,punch club,394310,8,6940,1488,Very Positive,8428,168560,Unity Engine
153,far: lone sails,609320,8,9837,601,Very Positive,10438,208760,Unity Engine
154,outer wilds,753640,9,35332,1702,Overwhelmingly Positive,37034,740680,Unity Engine
155,i am setsuna,441830,6,937,352,Mostly Positive,1289,25780,Unity Engine
156,umbrella corps,390340,4,338,608,Mostly Negative,946,18920,Unity Engine
157,house flipper,613100,8,55093,3859,Very Positive,58952,1179040,Unity Engine
158,verdun,242860,8,24047,3443,Very Positive,27490,549800,Unity Engine
159,wizard of legend,445980,8,12496,1114,Very Positive,13610,272200,Unity Engine
160,raft,648800,8,169156,11831,Very Positive,180987,3619740,Unity Engine
161,empyrion - galactic survival,383120,8,19898,4683,Very Positive,24581,491620,Unity Engine
162,dropsy,274350,8,1162,69,Very Positive,1231,24620,Unity Engine
163,superliminal,1049410,8,14956,812,Very Positive,15768,315360,Unity Engine
164,armikrog,334120,5,600,399,Mixed,999,19980,Unity Engine
165,tanki x,607200,0,2,0,2 user reviews,2,40,Unity Engine
166,black book,1138660,8,3201,191,Very Positive,3392,67840,Unity Engine
167,two point hospital,535930,8,19999,1646,Very Positive,21645,432900,Unity Engine
168,adventure time: pirates of the enchiridion,728240,8,358,45,Very Positive,403,8060,Unity Engine
169,battletech,637090,8,15023,3118,Very Positive,18141,362820,Unity Engine
170,osiris: new dawn,402710,5,7066,4437,Mixed,11503,230060,Unity Engine
171,thomas was alone,220780,8,3454,249,Very Positive,3703,74060,Unity Engine
172,children of morta,330020,8,10022,1013,Very Positive,11035,220700,Unity Engine
173,tony stewart's sprint car racing,1240230,8,161,22,Very Positive,183,3660,Unity Engine
174,my time at portia,666140,8,27685,2169,Very Positive,29854,597080,Unity Engine
175,gorogoa,557600,9,11281,304,Overwhelmingly Positive,11585,231700,Unity Engine
176,yooka-laylee and the impossible lair,846870,8,461,53,Very Positive,514,10280,Unity Engine
177,war robots,767560,0,0,0,No user reviews,0,0,Unity Engine
178,neo: the world ends with you,1647550,8,63,1,Very Positive,64,1280,Unity Engine
179,war for the overworld,230190,8,4778,783,Very Positive,5561,111220,Unity Engine
180,corpse party: blood drive,824830,8,190,35,Very Positive,225,4500,Unity Engine
181,saurian,587450,5,797,438,Mixed,1235,24700,Unity Engine
182,crystal caves hd,1330890,8,213,2,Very Positive,215,4300,Unity Engine
183,pewdiepie: legend of the brofist,390520,8,1070,103,Very Positive,1173,23460,Unity Engine
184,wasteland 2,240760,8,3750,807,Very Positive,4557,91140,Unity Engine
185,katamari damacy reroll,848350,8,2916,226,Very Positive,3142,62840,Unity Engine
186,escape plan,417600,0,0,0,No user reviews,0,0,Unity Engine
187,death's door,894020,8,10111,639,Very Positive,10750,215000,Unity Engine
